departamento,municipio,mine_count,mine_incidents,demining_count,matched
ATLANTICO,SANTA LUCÍA,1,0,1,True
ATLANTICO,SOLEDAD,1,0,1,True
BOGOTA DC,Bogotá DC,122,17,105,True
BOLIVAR,ACHÍ,5,2,3,True
BOLIVAR,ALTOS DEL ROSARIO,3,0,3,True
BOLIVAR,ARENAL,68,19,49,True
BOLIVAR,ARJONA,1,0,1,True
BOLIVAR,BARRANCO DE LOBA,5,4,1,True
BOLIVAR,CALAMAR,1,0,1,True
BOLIVAR,CANTAGALLO,118,18,100,True
BOLIVAR,CARTAGENA DE INDIAS,5,3,2,True
BOLIVAR,CLEMENCIA,0,0,0,True
BOLIVAR,CÓRDOBA,20,4,16,True
BOLIVAR,EL CARMEN DE BOLÍVAR,341,60,281,True
BOLIVAR,EL GUAMO,2,1,1,True
BOLIVAR,EL PEÑÓN,0,0,0,True
BOLIVAR,MARÍA LA BAJA,3,0,3,True
BOLIVAR,MONTECRISTO,46,13,33,True
BOLIVAR,MORALES,96,20,76,True
BOLIVAR,NOROSÍ,27,5,22,False
BOLIVAR,PINILLOS,3,1,2,True
BOLIVAR,REGIDOR,3,2,1,True
BOLIVAR,RÍOVIEJO,17,1,16,True
BOLIVAR,SAN ESTANISLAO,1,0,1,True
BOLIVAR,SAN JACINTO,46,16,30,True
BOLIVAR,SAN JACINTO DEL CAUCA,1,1,0,True
BOLIVAR,SAN JUAN NEPOMUCENO,23,5,18,True
BOLIVAR,SAN MARTÍN DE LOBA,5,3,2,True
BOLIVAR,SAN PABLO,167,44,123,True
BOLIVAR,SANTA CATALINA,1,0,1,True
BOLIVAR,SANTA ROSA DEL SUR,127,49,78,True
BOLIVAR,SIMITÍ,66,36,30,True
BOLIVAR,TIQUISIO,14,7,7,True
BOLIVAR,TURBACO,1,0,1,True
BOLIVAR,VILLANUEVA,7,2,5,True
BOLIVAR,ZAMBRANO,118,23,95,True
BOYACA,ALMEIDA,0,0,0,True
BOYACA,AQUITANIA,1,1,0,True
BOYACA,BELÉN,1,0,1,True
BOYACA,CAMPOHERMOSO,2,0,2,True
BOYACA,CERINZA,0,0,0,True
BOYACA,CHISCAS,12,1,11,True
BOYACA,CHITA,23,1,22,True
BOYACA,CHIVOR,0,0,0,True
BOYACA,COPER,0,0,0,True
BOYACA,CUBARÁ,36,4,32,True
BOYACA,EL COCUY,6,2,4,True
BOYACA,EL ESPINO,1,0,1,True
BOYACA,GARAGOA,1,1,0,True
BOYACA,GÁMEZA,1,0,1,True
BOYACA,GÜICÁN,5,0,5,True
BOYACA,JERICÓ,1,0,1,True
BOYACA,LA UVITA,1,0,1,True
BOYACA,LABRANZAGRANDE,30,9,21,True
BOYACA,MACANAL,0,0,0,True
BOYACA,MARIPÍ,1,0,1,True
BOYACA,MIRAFLORES,1,0,1,True
BOYACA,MONGUA,3,0,3,True
BOYACA,OTANCHE,4,1,3,True
BOYACA,PAJARITO,33,7,26,True
BOYACA,PAUNA,1,1,0,True
BOYACA,PAYA,8,1,7,True
BOYACA,PESCA,3,0,3,True
BOYACA,PISBA,36,7,29,True
BOYACA,PUERTO BOYACÁ,2,0,2,True
BOYACA,PÁEZ,2,1,1,True
BOYACA,QUÍPAMA,1,1,0,True
BOYACA,SAN EDUARDO,1,1,0,True
BOYACA,SAN LUIS DE GACENO,1,0,1,True
BOYACA,SAN MATEO,1,0,1,True
BOYACA,SAN PABLO DE BORBUR,1,0,1,True
BOYACA,SANTA MARÍA,0,0,0,True
BOYACA,SATIVANORTE,0,0,0,True
BOYACA,SATIVASUR,1,0,1,True
BOYACA,SOCOTÁ,7,0,7,True
BOYACA,SOGAMOSO,2,1,1,True
BOYACA,SUSACÓN,1,0,1,True
BOYACA,SUTATENZA,0,0,0,True
BOYACA,TASCO,1,1,0,True
BOYACA,TUNJA,1,0,1,True
BOYACA,ZETAQUIRA,3,0,3,True
CALDAS,AGUADAS,12,5,7,True
CALDAS,ANSERMA,2,2,0,True
CALDAS,BELALCÁZAR,1,1,0,True
CALDAS,FILADELFIA,1,1,0,True
CALDAS,LA DORADA,2,2,0,True
CALDAS,MANIZALES,4,2,2,True
CALDAS,MANZANARES,7,3,4,True
CALDAS,MARMATO,1,0,1,True
CALDAS,MARULANDA,20,7,13,True
CALDAS,NORCASIA,4,2,2,True
CALDAS,PALESTINA,1,0,1,True
CALDAS,PENSILVANIA,29,11,18,True
CALDAS,PÁCORA,5,4,1,True
CALDAS,RIOSUCIO,13,5,8,True
CALDAS,SALAMINA,6,2,4,True
CALDAS,SAMANÁ,161,68,93,True
CALDAS,SUPÍA,1,1,0,True
CALDAS,VILLAMARÍA,0,0,0,True
CAQUETA,ALBANIA,10,0,10,True
CAQUETA,BELÉN DE LOS ANDAQUÍES,24,6,18,True
CAQUETA,CARTAGENA DEL CHAIRÁ,357,34,323,True
CAQUETA,CURILLO,36,4,32,True
CAQUETA,EL DONCELLO,66,13,53,True
CAQUETA,EL PAUJIL,137,24,113,True
CAQUETA,FLORENCIA,213,56,157,True
CAQUETA,MILÁN,80,16,64,True
CAQUETA,MONTAÑITA,687,142,545,True
CAQUETA,MORELIA,11,3,8,True
CAQUETA,PUERTO RICO,424,96,328,True
CAQUETA,SAN JOSÉ DEL FRAGUA,55,9,46,True
CAQUETA,SAN VICENTE DEL CAGUÁN,822,185,637,True
CAQUETA,SOLANO,95,12,83,True
CAQUETA,SOLITA,7,2,5,True
CAQUETA,VALPARAÍSO,24,3,21,True
CASANARE,AGUAZUL,51,10,41,True
CASANARE,CHÁMEZA,17,7,10,True
CASANARE,HATO COROZAL,16,2,14,True
